Query,Response,language,intent
Where is  extc HOD,Different school wise hod are different.So be more clear with your school or department,en,extchod
Thanks,I am glad I helped you,en,salutaion
Do you offer mobile check deposit?,"Yes, we offer mobile check deposit through our banking app. Simply take a photo of the check and follow the instructions in the app.",en,unknown
hostel college distance,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
How do I activate my new credit card?,Activate your new credit card by calling the activation number provided with your card or by logging into your online banking account.,en,unknown
கணக்குகளுக்கு இடையில் தானியங்கி பரிமாற்றத்தை எவ்வாறு அமைப்பது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'பரிமாற்ற நிதிகளை' தேர்ந்தெடுத்து, இடமாற்றங்களை திட்டமிடுவதன் மூலம் தானியங்கி பரிமாற்றத்தை அமைக்கவும்.",ta,unknown
tell me something about the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
Wie ändere ich mein Kontokennwort?,"Um Ihr Kontokennwort zu ändern, melden Sie sich in Ihr Online -Banking -Konto an, wenden Sie sich zu den Einstellungen der „Sicherheit“ und befolgen Sie die Anweisungen, um Ihr Passwort zu aktualisieren.",de,unknown
who are your developers,College students,en,creator
Chemical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
bye bye,Sad to see you go :(,en,goodbye
அங்கீகரிக்கப்படாத பரிவர்த்தனையை நான் கவனித்தால் நான் என்ன செய்ய வேண்டும்?,"சிக்கலைத் தீர்க்கவும், உங்கள் கணக்கைப் பாதுகாக்கவும் வாடிக்கையாளர் சேவைக்கு எந்தவொரு அங்கீகரிக்கப்படாத பரிவர்த்தனைகளையும் உடனடியாகப் புகாரளிக்கவும்.",ta,unknown
எனது கணக்கு அமைப்புகளை எவ்வாறு மாற்றுவது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அமைப்புகள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் கணக்கு அமைப்புகளை மாற்றவும்.,ta,unknown
Do you offer personal finance advice?,"Yes, we offer personal finance advice and financial planning services. Contact us to schedule a meeting with one of our financial advisors.",en,unknown
Food,Our university has canteen with variety of food available,en,canteen
எனது மின்னஞ்சல் முகவரியை எவ்வாறு புதுப்பிக்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' அல்லது 'தொடர்புத் தகவல்' பகுதியை அணுகுவதன் மூலம் உங்கள் மின்னஞ்சல் முகவரியைப் புதுப்பிக்கவும்.,ta,unknown
How can I change my PIN?,"To change your PIN, log into your online banking account or visit an ATM and follow the instructions to update your PIN.",en,unknown
நீங்கள் மாணவர் கணக்குகளை வழங்குகிறீர்களா?,"ஆம், சிறப்பு அம்சங்கள் மற்றும் நன்மைகளுடன் மாணவர் கணக்குகளை நாங்கள் வழங்குகிறோம். எங்கள் மாணவர் கணக்குகள் பக்கத்தைப் பார்வையிடவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
How can I change my account type?,"To change your account type, contact customer service or visit a branch to discuss the available options and requirements.",en,unknown
college timing,College is open 8am-5pm Monday-Saturday!,en,hours
food menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
திட்டமிடப்பட்ட கட்டணத்தை நான் எவ்வாறு ரத்து செய்வது?,"திட்டமிடப்பட்ட கட்டணத்தை ரத்து செய்ய, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'திட்டமிடப்பட்ட கொடுப்பனவுகளுக்கு' செல்லவும், ரத்து செய்வதற்கான வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
கடன் அறிக்கையை நான் எவ்வாறு பெறுவது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலம் கடன் அறிக்கையை கோருங்கள்.",ta,unknown
கணக்கு அறிவிப்புகளை நான் அமைக்க முடியுமா?,"ஆம், பல்வேறு கணக்கு நடவடிக்கைகளுக்கான விழிப்பூட்டல்களைப் பெற எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாடு மூலம் கணக்கு அறிவிப்புகளை அமைக்கலாம்.",ta,unknown
comps scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
மாணவர் பட்ஜெட்டில் நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் மாணவர்களுக்கு பட்ஜெட் உதவியை வழங்குகிறோம். படிக்கும் போது உங்கள் நிதிகளை நிர்வகிக்க உதவி பெற எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
Can I get help with tax filing?,"For help with tax filing, consider consulting with a tax advisor or financial planner. We may also offer resources and assistance through our services.",en,unknown
Wie kann ich meinen Kontostand überprüfen?,"Sie können Ihren Kontostand überprüfen, indem Sie sich in unserem Online -Banking -Portal oder in unserem mobilen App anmelden. Sie können Ihr Gleichgewicht auch an einem Geldautomaten überprüfen.",de,unknown
How do I apply for a business credit card?,Apply for a business credit card by visiting our website and completing the online application or by contacting our business credit department.,en,unknown
"Was muss ich bereitstellen, um ein Bankkonto zu eröffnen?","Sie müssen eine gültige ID, einen Adressnachweis und Ihre Sozialversicherungsnummer oder eine gleichwertige Identifikationsnummer vorlegen.",de,unknown
ragging incidents,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
Can I add a joint account holder?,"Yes, you can add a joint account holder by visiting a branch or updating your account details through online banking.",en,unknown
documents needed during admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
How do I activate a new debit card?,Activate your new debit card by calling the activation number provided with your card or by logging into your online banking account.,en,unknown
can you tell me the courses available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
list of courses,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Wie kann ich mich für E-Statements einschreiben?,"Um sich für E-Statements anzumelden, melden Sie sich in Ihr Online-Banking-Konto an und wählen Sie den Abschnitt ""Anweisungen"" aus, um sich für die elektronische Lieferung zu entscheiden.",de,unknown
"Wie überprüfe ich, ob mein Antrag genehmigt ist?","Sie können den Status Ihrer Bewerbung überprüfen, indem Sie sich in Ihrem Online -Banking -Konto anmelden oder sich an den Kundendienst wenden, um ein Update zu erhalten.",de,unknown
நிதி அவசரநிலைகளுக்கு நான் எவ்வாறு உதவி பெற முடியும்?,"நிதி அவசரநிலைகளுக்கான உதவிக்கு, கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் ஆதரவைப் பற்றி விவாதிக்க வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
Bieten Sie Investmentdienstleistungen an?,"Ja, wir bieten Investmentdienstleistungen an. Kontaktieren Sie uns oder besuchen Sie unsere Website, um mehr über unsere Anlagemöglichkeiten und -dienstleistungen zu erfahren.",de,unknown
Library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Where is library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Can I set up account notifications?,"Yes, you can set up account notifications through our online banking portal or mobile app to receive alerts for various account activities.",en,unknown
Bieten Sie Versicherungsprodukte an?,"Ja, wir bieten verschiedene Versicherungsprodukte an. Bitte besuchen Sie unsere Website oder wenden Sie sich an den Kundendienst, um weitere Informationen zu Versicherungsoptionen zu erhalten.",de,unknown
How many floors does college have,My College has total 2 floors ,en,floors
what is your name,You can call me Mind Reader.,en,name
Can I use my debit card internationally?,"Yes, you can use your debit card internationally. Notify us before traveling to avoid any issues with your card being blocked.",en,unknown
Wie kann ich Warnungen für meine Kontotransaktionen einrichten?,"Sie können Kontowarnungen einrichten, indem Sie sich in Ihrem Online -Banking -Konto anmelden und die Option ""Warnungen"" auswählen, um Benachrichtigungen für verschiedene Kontoaktivitäten anzupassen.",de,unknown
documents required during admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
information about fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
எனது கடனைப் பற்றி எனக்கு கேள்வி இருந்தால் நான் என்ன செய்ய வேண்டும்?,"உங்கள் கடனைப் பற்றிய கேள்விகளுக்கு, எங்கள் கடன் துறையைத் தொடர்பு கொள்ளுங்கள் அல்லது உதவிக்காக கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
what is the name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
about the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
how can i contact you,You can contact at: NUMBER,en,number
food facilities,Our university has canteen with variety of food available,en,canteen
"Was soll ich tun, wenn ich eine Frage zu meinem Darlehen habe?","Für Fragen zu Ihrem Darlehen wenden Sie sich an unsere Darlehensabteilung oder besuchen Sie eine Filiale, um mit einem Kreditsachen zu sprechen, um Unterstützung zu erhalten.",de,unknown
புதிய டெபிட் கார்டை எவ்வாறு செயல்படுத்துவது?,உங்கள் அட்டையுடன் வழங்கப்பட்ட செயல்படுத்தும் எண்ணை அழைப்பதன் மூலம் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைவதன் மூலம் உங்கள் புதிய டெபிட் கார்டை செயல்படுத்தவும்.,ta,unknown
Kann ich Unterstützung bei der Finanzplanung erhalten?,"Ja, wir bieten Unterstützung bei finanzieller Planung. Wenden Sie sich an unsere Finanzberater, um Hilfe bei der Planung und Verwaltung Ihrer Finanzen zu erhalten.",de,unknown
fee per semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
What are your policies on account closure fees?,"Account closure fees, if any, are detailed in our fee schedule. Please review the information on our website or contact customer service.",en,unknown
why i should use you,I can answer to low-intermediate questions regarding college,en,task
Sports activities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
Is there any hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
ragging,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
Was sind Ihre Richtlinien für die Abschlussgebühren für die Schließung?,"Die Gebühren für Kontoverschlüsse sind, falls vorhanden, in unserem Gebührenplan aufgeführt. Bitte überprüfen Sie die Informationen auf unserer Website oder wenden Sie sich an den Kundendienst.",de,unknown
Do you offer financial literacy resources?,"Yes, we offer financial literacy resources. Visit our website or contact customer service to access educational materials and workshops.",en,unknown
Wie richte ich Kontowarnungen ein?,"Melden Sie sich in Ihr Online -Banking -Konto an, wechseln Sie in den Abschnitt ""Warnungen"" und wählen Sie die Arten von Warnungen, die Sie für Ihre Kontoaktivitäten erhalten möchten.",de,unknown
Kann ich eine direkte Einzahlung für meinen Gehaltsscheck einrichten?,"Ja, Sie können eine direkte Einzahlung einrichten, indem Sie Ihrem Arbeitgeber Ihre Kontonummer und die Routing -Nummer unserer Bank zur Verfügung stellen.",de,unknown
எனது தனிப்பட்ட தகவல்களை ஆன்லைனில் புதுப்பிக்க முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' பகுதியை அணுகுவதன் மூலம் முகவரி அல்லது தொலைபேசி எண் போன்ற உங்கள் தனிப்பட்ட தகவல்களை புதுப்பிக்கலாம்.",ta,unknown
What are college facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
your developers,College students,en,creator
Wie aktualisiere ich meine Kontoeinstellungen?,"Aktualisieren Sie Ihre Kontoeinstellungen, indem Sie sich in Ihrem Online -Banking -Konto anmelden und zu dem Abschnitt ""Einstellungen"" oder ""Einstellungen"" navigieren.",de,unknown
Can I set up alerts for unusual account activity?,"Yes, you can set up alerts for unusual account activity through our online banking platform or mobile app to monitor your account more closely.",en,unknown
about vacations,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,en,infrastructure
college is located at,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>",en,location
what about college timing,College is open 8am-5pm Monday-Saturday!,en,hours
கூட்டுக் கணக்கு வைத்திருப்பவரை நான் சேர்க்கலாமா?,"ஆம், ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ அல்லது ஆன்லைன் வங்கி மூலம் உங்கள் கணக்கு விவரங்களை புதுப்பிப்பதன் மூலமோ கூட்டுக் கணக்கு வைத்திருப்பவரைச் சேர்க்கலாம்.",ta,unknown
ragging history,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
How can I add an authorized user to my account?,"To add an authorized user, visit a branch or log into your online banking account and follow the instructions to add a new user.",en,unknown
How do I stop payment on a check?,"To stop payment on a check, contact our customer service or visit a branch with your account details and information about the check.",en,unknown
what is available in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
what is the name of your developers,College students,en,creator
who is this,You can call me Mind Reader.,en,name
how many stundent are taken in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
Wie beantrage ich eine Geschäftskreditkarte?,"Beantragen Sie eine Business -Kreditkarte, indem Sie unsere Website besuchen und die Online -Bewerbung ausfüllen oder sich an unsere Geschäftskreditabteilung wenden.",de,unknown
talk to you later,Sad to see you go :(,en,goodbye
What should I do if I notice an unauthorized transaction?,Report any unauthorized transactions to customer service immediately to resolve the issue and secure your account.,en,unknown
What is the process for applying for a mortgage?,"Apply for a mortgage by visiting our website, completing the online application, or visiting a branch to discuss your options with a loan officer.",en,unknown
How do I check my credit score?,You can check your credit score through our online banking platform or by requesting a credit report from credit reporting agencies.,en,unknown
