Query,Response,language,intent
Hi,Hello!,en,greeting
How are you?,Hello!,en,greeting
Is anyone there?,Hello!,en,greeting
Hello,Hello!,en,greeting
Good day,Hello!,en,greeting
What's up,Hello!,en,greeting
how are ya,Hello!,en,greeting
heyy,Hello!,en,greeting
whatsup,Hello!,en,greeting
??? ??? ??,Hello!,en,greeting
cya,Sad to see you go :(,en,goodbye
see you,Sad to see you go :(,en,goodbye
bye bye,Sad to see you go :(,en,goodbye
See you later,Sad to see you go :(,en,goodbye
Goodbye,Sad to see you go :(,en,goodbye
I am Leaving,Sad to see you go :(,en,goodbye
Bye,Sad to see you go :(,en,goodbye
Have a Good day,Sad to see you go :(,en,goodbye
talk to you later,Sad to see you go :(,en,goodbye
ttyl,Sad to see you go :(,en,goodbye
i got to go,Sad to see you go :(,en,goodbye
gtg,Sad to see you go :(,en,goodbye
what is the name of your developers,College students,en,creator
what is the name of your creators,College students,en,creator
what is the name of the developers,College students,en,creator
what is the name of the creators,College students,en,creator
who created you,College students,en,creator
your developers,College students,en,creator
your creators,College students,en,creator
who are your developers,College students,en,creator
developers,College students,en,creator
you are made by,College students,en,creator
you are made by whom,College students,en,creator
who created you,College students,en,creator
who create you,College students,en,creator
creators,College students,en,creator
who made you,College students,en,creator
who designed you,College students,en,creator
name,You can call me Mind Reader.,en,name
your name,You can call me Mind Reader.,en,name
do you have a name,You can call me Mind Reader.,en,name
what are you called,You can call me Mind Reader.,en,name
what is your name,You can call me Mind Reader.,en,name
what should I call you,You can call me Mind Reader.,en,name
whats your name?,You can call me Mind Reader.,en,name
what are you,You can call me Mind Reader.,en,name
who are you,You can call me Mind Reader.,en,name
who is this,You can call me Mind Reader.,en,name
what am i chatting to,You can call me Mind Reader.,en,name
who am i taking to,You can call me Mind Reader.,en,name
what are you,You can call me Mind Reader.,en,name
timing of college,College is open 8am-5pm Monday-Saturday!,en,hours
what is college timing,College is open 8am-5pm Monday-Saturday!,en,hours
working days,College is open 8am-5pm Monday-Saturday!,en,hours
when are you guys open,College is open 8am-5pm Monday-Saturday!,en,hours
what are your hours,College is open 8am-5pm Monday-Saturday!,en,hours
hours of operation,College is open 8am-5pm Monday-Saturday!,en,hours
when is the college open,College is open 8am-5pm Monday-Saturday!,en,hours
college timing,College is open 8am-5pm Monday-Saturday!,en,hours
what about college timing,College is open 8am-5pm Monday-Saturday!,en,hours
is college open on saturday,College is open 8am-5pm Monday-Saturday!,en,hours
tell something about college timing,College is open 8am-5pm Monday-Saturday!,en,hours
what is the college  hours,College is open 8am-5pm Monday-Saturday!,en,hours
when should i come to college,College is open 8am-5pm Monday-Saturday!,en,hours
when should i attend college,College is open 8am-5pm Monday-Saturday!,en,hours
what is my college time,College is open 8am-5pm Monday-Saturday!,en,hours
college timing,College is open 8am-5pm Monday-Saturday!,en,hours
timing college,College is open 8am-5pm Monday-Saturday!,en,hours
more info,You can contact at: NUMBER,en,number
contact info,You can contact at: NUMBER,en,number
how to contact college,You can contact at: NUMBER,en,number
college telephone number,You can contact at: NUMBER,en,number
college number,You can contact at: NUMBER,en,number
What is your contact no,You can contact at: NUMBER,en,number
Contact number?,You can contact at: NUMBER,en,number
how to call you,You can contact at: NUMBER,en,number
College phone no?,You can contact at: NUMBER,en,number
how can i contact you,You can contact at: NUMBER,en,number
Can i get your phone number,You can contact at: NUMBER,en,number
how can i call you,You can contact at: NUMBER,en,number
phone number,You can contact at: NUMBER,en,number
phone no,You can contact at: NUMBER,en,number
call,You can contact at: NUMBER,en,number
list of courses,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
list of courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
list of courses offered in,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
what are the courses offered in your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
courses?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
courses offered in (your univrsity(UNI) name),"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
courses you offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
branches?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
courses available at UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
branches available at your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
what are the courses in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
what are branches in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
what are courses in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
can you tell me the courses available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
can you tell me the branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
computer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
it,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
IT,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Information Technology,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
AI/Ml,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Mechanical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Chemical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Civil engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
information about fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
information on fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
tell me the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
college fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
fee per semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
what is the fee of each semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
