Query,Response,language,intent,Response_DE,Response_TA
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 12.0%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 12,0%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 12.0%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 7.3%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 7,3%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 7.3%ஆகும்.
எனது கணக்கு செயல்பாட்டு வரலாற்றை நான் பார்க்க முடியுமா?,"Yes, you can find your account functional history by logging in to your online bank account and accessing the 'Account Activity' section.",ta,unknown,,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'கணக்கு செயல்பாடு' பிரிவை அணுகுவதன் மூலம் உங்கள் கணக்கு செயல்பாட்டு வரலாற்றைக் காணலாம்."
Kann ich eine Kopie meiner Kontosgeschichte erhalten?,"Yes, you can get a copy of your account course by registering in your online banking account and requesting the information about the ""Account activity"" section.",de,unknown,"Ja, Sie können eine Kopie Ihres Kontoverlaufs erhalten, indem Sie sich in Ihrem Online -Banking -Konto anmelden und die Informationen über den Abschnitt ""Kontoaktivität"" anfordern.",
Can I set up alerts for unusual account activity?,"Yes, you can set up alerts for unusual account activity through our online banking platform or mobile app to monitor your account more closely.",en,unknown,"Ja, Sie können Warnungen für ungewöhnliche Kontoaktivitäten über unsere Online -Banking -Plattform oder mobile App einrichten, um Ihr Konto genauer zu überwachen.","ஆம், உங்கள் கணக்கை மிக நெருக்கமாக கண்காணிக்க எங்கள் ஆன்லைன் வங்கி தளம் அல்லது மொபைல் பயன்பாடு மூலம் அசாதாரண கணக்கு செயல்பாட்டிற்கான விழிப்பூட்டல்களை நீங்கள் அமைக்கலாம்."
"Was muss ich bereitstellen, um ein Bankkonto zu eröffnen?","You must submit a valid ID, a proof of address and your social security number or an equivalent identification number.",de,unknown,"Sie müssen eine gültige ID, einen Adressnachweis und Ihre Sozialversicherungsnummer oder eine gleichwertige Identifikationsnummer vorlegen.",
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 14.0%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 14,0%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 14.0%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 14.9%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 14,9%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 14.9%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 11.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 11,9%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 11.9%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 9.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 9,6%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 9.6%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 16.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 16,4%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 16.4%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 13.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 13,3%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 13.3%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 8.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 8,7%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 8.7%ஆகும்.
Kann ich über eine mobile App auf mein Konto zugreifen?,"Yes, you can access your account via our mobile app, which can be downloaded from both iOS and Android devices.",de,unknown,"Ja, Sie können auf Ihr Konto über unsere mobile App zugreifen, die sowohl auf iOS- als auch auf Android -Geräten heruntergeladen werden kann.",
Wie schließe ich mein Konto?,"To close your account, contact customer service or visit a branch to complete the account closure process.",de,unknown,"Um Ihr Konto zu schließen, wenden Sie sich an den Kundendienst oder besuchen Sie eine Filiale, um den Kontoverschlussvorgang abzuschließen.",
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 16.9%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 16,9%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 16.9%ஆகும்.
Wie richte ich Kontowarnungen ein?,"Register in your online banking account, switch to the ""Warnings"" section and choose the types of warnings you want to receive for your account activities.",de,unknown,"Melden Sie sich in Ihr Online -Banking -Konto an, wechseln Sie in den Abschnitt ""Warnungen"" und wählen Sie die Arten von Warnungen, die Sie für Ihre Kontoaktivitäten erhalten möchten.",
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 19.5%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 19,5%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 19.5%ஆகும்.
Kann ich über einen Anruf auf mein Konto zugreifen?,Most account services are available via telephone support.Contact customer service to get support with your account on the phone.,de,unknown,"Die meisten Kontodienste sind über den Telefonsupport verfügbar. Wenden Sie sich an den Kundendienst, um Unterstützung mit Ihrem Konto über das Telefon zu erhalten.",
What is the interest rate for a education loan?,The current interest rate for a education loan is 6.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 6,5%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 6.5%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 15.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 15,5%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 15.5%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 7.4%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 7,4%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 7.4%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 17.6%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 17,6%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 17.6%ஆகும்.
How can I request a temporary increase in my withdrawal limit?,"To request a temporary increase in your withdrawal limit, contact customer service or visit a branch to discuss your request.",en,unknown,"To request a temporary increase in your withdrawal limit, contact customer service or visit a branch to discuss your request.",
உங்கள் சேவைகளைப் பற்றி சொல்லுங்கள்,"We lead the International Bank that owns branches in 5 cities around the world.We offer savings account, current account, loans and credit cards.",ta,unknown,,"உலகெங்கிலும் உள்ள 5 நகரங்களில் கிளைகளை வைத்திருக்கும் சர்வதேச வங்கியை நாங்கள் வழிநடத்துகிறோம். நாங்கள் சேமிப்புக் கணக்கு, நடப்புக் கணக்கு, கடன்கள் மற்றும் கிரெடிட் கார்டுகளை வழங்குகிறோம்."
What is the interest rate for a education loan?,The current interest rate for a education loan is 16.8%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 16,8%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 16.8%ஆகும்.
Can I add a joint account holder?,"Yes, you can add a joint account holder by visiting a branch or updating your account details through online banking.",en,unknown,"Yes, you can add a joint account holder by visiting a branch or updating your account details through online banking.",
How can I cancel a scheduled payment?,"To cancel a scheduled payment, log into your online banking account, navigate to 'Scheduled Payments,' and follow the instructions to cancel.",en,unknown,"Um eine geplante Zahlung zu kündigen, melden Sie sich in Ihr Online -Banking -Konto an, navigieren Sie zu „geplanten Zahlungen“ und befolgen Sie die Anweisungen zur Absage.","திட்டமிடப்பட்ட கட்டணத்தை ரத்து செய்ய, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'திட்டமிடப்பட்ட கொடுப்பனவுகளுக்கு' செல்லவும், ரத்து செய்வதற்கான வழிமுறைகளைப் பின்பற்றவும்."
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 7.8%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 7,8%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 7.8%ஆகும்.
அங்கீகரிக்கப்படாத பரிவர்த்தனையை நான் கவனித்தால் நான் என்ன செய்ய வேண்டும்?,Solve the problem and protect your account immediately to report any unauthorized transactions to the customer service.,ta,unknown,,"சிக்கலைத் தீர்க்கவும், உங்கள் கணக்கைப் பாதுகாக்கவும் வாடிக்கையாளர் சேவைக்கு எந்தவொரு அங்கீகரிக்கப்படாத பரிவர்த்தனைகளையும் உடனடியாகப் புகாரளிக்கவும்."
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 15.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 15,1%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 15.1%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 13.4%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 13,4%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 13.4%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 17.8%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 17,8%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 17.8%ஆகும்.
Bieten Sie Student Loan Services an?,"Yes, we offer student loans.Please visit our website or contact our loan department to obtain information about student loan options.",de,unknown,"Ja, wir bieten Studentendarlehensleistungen an. Bitte besuchen Sie unsere Website oder wenden Sie sich an unsere Darlehensabteilung, um Informationen zu Studentendarlehensoptionen zu erhalten.",
Wie kann ich eine Änderung in meinem Kontotyp anfordern?,"To request a change in your account, contact customer service or visit a branch to discuss the available options and requirements.",de,unknown,"Um eine Änderung Ihres Kontotyps anzufordern, wenden Sie sich an den Kundendienst oder besuchen Sie eine Filiale, um die verfügbaren Optionen und Anforderungen zu besprechen.",
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 12.2%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 12,2%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 12.2%ஆகும்.
Kann ich meine Konten für einen leichteren Zugriff verknüpfen?,"Yes, you can link your accounts for easier access via our online banking platform or mobile app.",de,unknown,"Ja, Sie können Ihre Konten für den einfacheren Zugriff über unsere Online -Banking -Plattform oder mobile App verknüpfen.",
What is the interest rate for a education loan?,The current interest rate for a education loan is 11.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 11,1%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 11.1%ஆகும்.
எனது கணக்கு வகையை எவ்வாறு மாற்றுவது?,"To change your account type, contact the customer service or visit a branch to discuss the available options and requirements.",ta,unknown,,"உங்கள் கணக்கு வகையை மாற்ற, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் தேவைகளைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்."
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 10.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 10,4%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 10.4%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 15.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 15,7%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 15.7%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 17.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 17,4%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 17.4%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 10.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 10,4%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 10.4%ஆகும்.
Do you offer retirement planning services?,"Yes, we offer retirement planning services. Contact us to schedule a meeting with a retirement planning advisor.",en,unknown,"Ja, wir bieten Altersvorsorgeplanungsdienste an.Kontaktieren Sie uns, um ein Treffen mit einem Berater für die Altersvorsorge zu planen.","ஆம், நாங்கள் ஓய்வூதிய திட்டமிடல் சேவைகளை வழங்குகிறோம்.ஓய்வூதிய திட்டமிடல் ஆலோசகருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்."
நீங்கள் மாணவர் கணக்குகளை வழங்குகிறீர்களா?,"Yes, we offer student accounts with special features and benefits.Visit our Student Accounts page or contact the customer service for details.",ta,unknown,,"ஆம், சிறப்பு அம்சங்கள் மற்றும் நன்மைகளுடன் மாணவர் கணக்குகளை நாங்கள் வழங்குகிறோம். எங்கள் மாணவர் கணக்குகள் பக்கத்தைப் பார்வையிடவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
நீங்கள் மொபைல் காசோலை வைப்புத்தொகையை வழங்குகிறீர்களா?,"Yes, we offer a mobile check deposit through our bank app.Take a photo of the check and follow the instructions in use.",ta,unknown,,"ஆம், எங்கள் வங்கி பயன்பாட்டின் மூலம் மொபைல் காசோலை வைப்புத்தொகையை வழங்குகிறோம். காசோலையின் புகைப்படத்தை எடுத்து பயன்பாட்டில் உள்ள வழிமுறைகளைப் பின்பற்றவும்."
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 8.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 8,3%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 8.3%ஆகும்.
Wie lautet Ihre Richtlinien für Mindestguthaben?,Our guideline for minimum credit varies depending on the account.Please check the account details on our website or contact customer service to receive details.,de,unknown,"Unsere Richtlinie zu Mindestguthaben variiert je nach Kontotyp. Bitte überprüfen Sie die Kontodaten auf unserer Website oder wenden Sie sich an den Kundendienst, um Einzelheiten zu erhalten.",
